accepted,acceptedKey,authorship,basionym,basionymKey,canonicalName,class,classKey,constituentKey,datasetKey,family,familyKey,genus,genusKey,issues,key,kingdom,kingdomKey,lastCrawled,lastInterpreted,modified,nameKey,nameType,nomenclaturalStatus,nubKey,numDescendants,order,orderKey,origin,parent,parentKey,phylum,phylumKey,rank,remarks,scientificName,sourceTaxonKey,species,speciesKey,synonym,taxonID,taxonomicStatus,verbatimScientificName
,,,,,Asterolecanium,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,[],2089594,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:28:59.034+0000,2016-07-28T15:38:02.972+0000,1107624,SCIENTIFIC,[],2089594.0,9,Hemiptera,809,SOURCE,Asterolecaniidae,3265514,Arthropoda,54,GENUS,,Asterolecanium,101866784,,,False,gbif:2089594,ACCEPTED,Asterolecanium pseudolanceolatum
,,,,,Asterolecanium,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,[],2089594,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:28:59.034+0000,2016-07-28T15:38:02.972+0000,1107624,SCIENTIFIC,[],2089594.0,9,Hemiptera,809,SOURCE,Asterolecaniidae,3265514,Arthropoda,54,GENUS,,Asterolecanium,101866784,,,False,gbif:2089594,ACCEPTED,Asterolecanium coronatum
,," (Boisduval, 1869)",,,Asterolecanium miliaris,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,['ORIGINAL_NAME_DERIVED'],4290168,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:28:59.050+0000,,1107719,SCIENTIFIC,[],4290168.0,0,Hemiptera,809,SOURCE,Asterolecanium,2089594,Arthropoda,54,SPECIES,,"Asterolecanium miliaris (Boisduval, 1869)",101866790,Asterolecanium miliaris,4290168.0,False,gbif:4290168,ACCEPTED,Asterolecanium miliaris
,,L.,,,Musa,Liliopsida,196,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Musaceae,4686.0,Musa,2760990.0,[],2760990,Plantae,6,2016-07-25T16:54:25.896+0000,2016-07-25T16:46:37.379+0000,,7219608,SCIENTIFIC,[],2760990.0,183,Zingiberales,627,SOURCE,Musaceae,4686,Tracheophyta,7707728,GENUS,,Musa L.,121252898,,,False,gbif:2760990,ACCEPTED,Musa
,,"Burmeister, 1855",,,Adoretus sinicus,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Rutelidae,4425773.0,Adoretus,1065060.0,[],4293553,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:36:42.120+0000,,247025,SCIENTIFIC,[],4293553.0,0,Coleoptera,1470,SOURCE,Adoretus,1065060,Arthropoda,54,SPECIES,,"Adoretus sinicus Burmeister, 1855",101792937,Adoretus sinicus,4293553.0,False,gbif:4293553,ACCEPTED,Adoretus sinicus
,,"Marshall, G.A.K., 1930",,,Cosmopolites sordidus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Dryophthoridae,8494.0,Cosmopolites,1169984.0,[],1169988,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:32:19.223+0000,2016-07-28T14:04:50.421+0000,2920187,SCIENTIFIC,[],1169988.0,0,Coleoptera,1470,SOURCE,Cosmopolites,1169984,Arthropoda,54,SPECIES,,"Cosmopolites sordidus Marshall, G.A.K., 1930",109651616,Cosmopolites sordidus,1169988.0,False,gbif:1169988,DOUBTFUL,Cosmopolites sordidus
,,"Heller, K.M., 1927",,,Polytus mellerborgi,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Dryophthoridae,8494.0,Polytus,1169439.0,[],1169443,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:32:16.861+0000,2016-07-28T14:21:51.975+0000,9084031,SCIENTIFIC,[],1169443.0,0,Coleoptera,1470,SOURCE,Polytus,1169439,Arthropoda,54,SPECIES,,"Polytus mellerborgi Heller, K.M., 1927",109652482,Polytus mellerborgi,1169443.0,False,gbif:1169443,DOUBTFUL,Polytus mellerborgi
"Leptoglossus gonagra (Fabricius, 1775)",5156106.0," (Fabricius, 1775)",,,Leptoglossus australis,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Coreidae,9649.0,Leptoglossus,2050115.0,['ORIGINAL_NAME_DERIVED'],7832229,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:03.696+0000,,6209302,SCIENTIFIC,[],,0,Hemiptera,809,SOURCE,Leptoglossus,2050115,Arthropoda,54,SPECIES,,"Leptoglossus australis (Fabricius, 1775)",120921449,Leptoglossus gonagra,5156106.0,True,gbif:7832229,SYNONYM,Leptoglossus australis
,," (Risso, 1813)",,,Planococcus citri,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Pseudococcidae,4534.0,Planococcus,2095382.0,['ORIGINAL_NAME_DERIVED'],7920517,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:37.180+0000,,8834370,SCIENTIFIC,[],,0,Hemiptera,809,SOURCE,Planococcus,2095382,Arthropoda,54,SPECIES,,"Planococcus citri (Risso, 1813)",110106531,Planococcus citri,7920517.0,False,gbif:7920517,ACCEPTED,Planococcus citri
,,"Green, 1896",,,Aspidiotus excisus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Diaspididae,4521.0,Aspidiotus,5161675.0,[],5161743,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:41.614+0000,,1064136,SCIENTIFIC,[],5161743.0,0,Hemiptera,809,SOURCE,Aspidiotus,5161675,Arthropoda,54,SPECIES,,"Aspidiotus excisus Green, 1896",110091395,Aspidiotus excisus,5161743.0,False,gbif:5161743,ACCEPTED,Aspidiotus excisus
