acceptedScientificName,acceptedScientificNameID,class,data_source_title,family,genus,is_known_name,kingdom,order,phylum,scientificName,scientificNameID,species,supplied_name_string
"Coccus longulus (Douglas, 1887)",8202676,Insecta,GBIF Backbone Taxonomy,Coccidae,Coccus,True,Animalia,Hemiptera,Arthropoda,"Coccus longulus Ben-Dov, 1977",8127963,Coccus longulus,Coccus longulus
"Eucalymnatus tessellatus (Signoret, 1873)",2091537,Insecta,GBIF Backbone Taxonomy,Coccidae,Eucalymnatus,True,Animalia,Hemiptera,Arthropoda,"Eucalymnatus tessellatus (Signoret, 1873)",2091537,Eucalymnatus tessellatus,Eucalymnatus tessellatus
"Hemiberlesia lataniae (Signoret, 1869)",2083970,Insecta,GBIF Backbone Taxonomy,Diaspididae,Hemiberlesia,True,Animalia,Hemiptera,Arthropoda,"Hemiberlesia lataniae Cockerell, 1905",8101696,Hemiberlesia lataniae,Hemiberlesia lataniae
"Aspidiotus destructor Cockerell in Fernald, 1903",7927609,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aspidiotus,True,Animalia,Hemiptera,Arthropoda,"Aspidiotus destructor Cockerell in Fernald, 1903",7927609,Aspidiotus destructor,Aspidiotus destructor
"Pseudococcus longispinus (Targioni Tozzetti, 1867)",2095283,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Pseudococcus,True,Animalia,Hemiptera,Arthropoda,"Pseudococcus longispinus (Targioni Tozzetti, 1867)",2095283,Pseudococcus longispinus,Pseudococcus longispinus
"Icerya seychellarum Maskell, 1897",4484675,Insecta,GBIF Backbone Taxonomy,Margarodidae,Icerya,True,Animalia,Hemiptera,Arthropoda,"Icerya seychellarum Maskell, 1897",4484675,Icerya seychellarum,Icerya seychellarum
"Oceanaspidiotus spinosus (Comstock, 1883)",7688159,Insecta,GBIF Backbone Taxonomy,Diaspididae,Oceanaspidiotus,True,Animalia,Hemiptera,Arthropoda,"Aspidiotus spinosus Cockerell, 1895",8329867,Oceanaspidiotus spinosus,Aspidiotus spinosus
"Icerya aegyptiaca (Douglas, 1890)",2080604,Insecta,GBIF Backbone Taxonomy,Margarodidae,Icerya,True,Animalia,Hemiptera,Arthropoda,"Icerya aegyptiaca (Douglas, 1890)",2080604,Icerya aegyptiaca,Icerya aegyptiaca
"Selenothrips rubrocinctus (Giard, 1901)",1420801,Insecta,GBIF Backbone Taxonomy,Thripidae,Selenothrips,True,Animalia,Thysanoptera,Arthropoda,"Selenothrips rubrocinctus (Giard, 1901)",1420801,Selenothrips rubrocinctus,Selenothrips rubrocinctus
Bambusa Mutis ex Caldas,7967307,Liliopsida,GBIF Backbone Taxonomy,Poaceae,Bambusa,True,Plantae,Poales,Tracheophyta,Bambusa Mutis ex Caldas,7967307,,Bambusa
"Anomala sulcatula Burmeister, 1844",5988462,Insecta,GBIF Backbone Taxonomy,Rutelidae,Anomala,True,Animalia,Coleoptera,Arthropoda,"Anomala sulcatula Burmeister, 1844",5988462,Anomala sulcatula,Anomala sulcatula
"Chlorophorus annularis (Fabricius, 1787)",1111797,Insecta,GBIF Backbone Taxonomy,Cerambycidae,Chlorophorus,True,Animalia,Coleoptera,Arthropoda,"Chlorophorus annularis (Fabricius, 1787)",1111797,Chlorophorus annularis,Chlorophorus annularis
"Pseudoloxops bifasciatus (Usinger, 1946)",7845604,Insecta,GBIF Backbone Taxonomy,Miridae,Pseudoloxops,True,Animalia,Hemiptera,Arthropoda,"Pseudoloxops bifasciatus (Usinger, 1946)",7845604,Pseudoloxops bifasciatus,Pseudoloxops bifasciatus
"Asterolecanium robustum Green, 1908",4290164,Insecta,GBIF Backbone Taxonomy,Asterolecaniidae,Asterolecanium,True,Animalia,Hemiptera,Arthropoda,"Asterolecanium robustum Green, 1908",4290164,Asterolecanium robustum,Asterolecanium robustum
"Asterolecanium bambusae (Boisduval, 1869)",4290165,Insecta,GBIF Backbone Taxonomy,Asterolecaniidae,Asterolecanium,True,Animalia,Hemiptera,Arthropoda,"Asterolecanium bambusae (Boisduval, 1869)",4290165,Asterolecanium bambusae,Asterolecanium bambusae
"Asterolecanium pseudomiliaris Green, 1922",4290167,Insecta,GBIF Backbone Taxonomy,Asterolecaniidae,Asterolecanium,True,Animalia,Hemiptera,Arthropoda,"Asterolecanium pseudomiliaris Green, 1922",4290167,Asterolecanium pseudomiliaris,Asterolecanium pseudomiliaris
Asterolecanium pseudolanceolatum Takahashi 1933,128601298,,Index to Organism Names,,,True,,,,Asterolecanium pseudolanceolatum Takahashi 1933,128601298,,Asterolecanium pseudolanceolatum
Asterolecanium,2089594,Insecta,GBIF Backbone Taxonomy,Asterolecaniidae,Asterolecanium,False,Animalia,Hemiptera,Arthropoda,Asterolecanium,2089594,,Asterolecanium coronatum
"Asterolecanium miliaris (Boisduval, 1869)",4290168,Insecta,GBIF Backbone Taxonomy,Asterolecaniidae,Asterolecanium,True,Animalia,Hemiptera,Arthropoda,"Asterolecanium miliaris (Boisduval, 1869)",4290168,Asterolecanium miliaris,Asterolecanium miliaris
Musa L.,2760990,Liliopsida,GBIF Backbone Taxonomy,Musaceae,Musa,True,Plantae,Zingiberales,Tracheophyta,Musa L.,2760990,,Musa
"Adoretus sinicus Burmeister, 1855",4293553,Insecta,GBIF Backbone Taxonomy,Rutelidae,Adoretus,True,Animalia,Coleoptera,Arthropoda,"Adoretus sinicus Burmeister, 1855",4293553,Adoretus sinicus,Adoretus sinicus
"Cosmopolites sordidus Marshall, G.A.K., 1930",1169988,Insecta,GBIF Backbone Taxonomy,Dryophthoridae,Cosmopolites,True,Animalia,Coleoptera,Arthropoda,"Cosmopolites sordidus Marshall, G.A.K., 1930",1169988,Cosmopolites sordidus,Cosmopolites sordidus
"Polytus mellerborgi Heller, K.M., 1927",1169443,Insecta,GBIF Backbone Taxonomy,Dryophthoridae,Polytus,True,Animalia,Coleoptera,Arthropoda,"Polytus mellerborgi Heller, K.M., 1927",1169443,Polytus mellerborgi,Polytus mellerborgi
"Leptoglossus gonagra (Fabricius, 1775)",5156106,Insecta,GBIF Backbone Taxonomy,Coreidae,Leptoglossus,True,Animalia,Hemiptera,Arthropoda,"Leptoglossus australis (Fabricius, 1775)",7832229,Leptoglossus gonagra,Leptoglossus australis
"Planococcus lilacinus (Cockerell, 1905)",5164205,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Planococcus,True,Animalia,Hemiptera,Arthropoda,"Planococcus citri McKenzie, 1967",8194649,Planococcus lilacinus,Planococcus citri
"Aspidiotus excisus Green, 1896",5161743,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aspidiotus,True,Animalia,Hemiptera,Arthropoda,"Aspidiotus excisus Leonardi, 1898",7789490,Aspidiotus excisus,Aspidiotus excisus
"Ferrisia malvastra (McDaniel, 1962)",5164047,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Ferrisia,True,Animalia,Hemiptera,Arthropoda,"Ferrisia virgata Ben-Dov, 1980",8382558,Ferrisia malvastra,Ferrisia virgata
"Proutista moesta (Westwood, 1851)",2062873,Insecta,GBIF Backbone Taxonomy,Derbidae,Proutista,True,Animalia,Hemiptera,Arthropoda,"Proutista moesta (Westwood, 1851)",2062873,Proutista moesta,Proutista moesta
"Lamenia caliginea (Stål, 1854)",2063240,Insecta,GBIF Backbone Taxonomy,Derbidae,Lamenia,True,Animalia,Hemiptera,Arthropoda,"Lamenia caliginea (Stål, 1854)",2063240,Lamenia caliginea,Lamenia caliginea
"Ischnaspis longirostris (Signoret, 1882)",5161411,Insecta,GBIF Backbone Taxonomy,Diaspididae,Ischnaspis,True,Animalia,Hemiptera,Arthropoda,"Ischnaspis longirostris Hempel, 1900",7984889,Ischnaspis longirostris,Ischnaspis longirostris
"Pseudococcus microadonidum Beardsley, 1966",2095276,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Pseudococcus,True,Animalia,Hemiptera,Arthropoda,"Pseudococcus microadonidum Beardsley, 1966",2095276,Pseudococcus microadonidum,Pseudococcus microadonidum
"Pseudococcus orchidicola Takahashi, 1939",2095308,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Pseudococcus,True,Animalia,Hemiptera,Arthropoda,"Pseudococcus orchidicola Takahashi, 1939",2095308,Pseudococcus orchidicola,Pseudococcus orchidicola
"Diaspis boisduvalii Signoret, 1869",2087459,Insecta,GBIF Backbone Taxonomy,Diaspididae,Diaspis,True,Animalia,Hemiptera,Arthropoda,"Diaspis boisduvalii Borchsenius, 1966",8344593,Diaspis boisduvalii,Diaspis boisduvalii
"Saissetia coffeae (Walker, 1852)",5163470,Insecta,GBIF Backbone Taxonomy,Coccidae,Saissetia,True,Animalia,Hemiptera,Arthropoda,"Saissetia coffeae (Walker, 1852)",5163470,Saissetia coffeae,Saissetia coffeae
"Chrysomphalus dictyospermi (Morgan, 1889)",2083463,Insecta,GBIF Backbone Taxonomy,Diaspididae,Chrysomphalus,True,Animalia,Hemiptera,Arthropoda,"Chrysomphalus dictyospermi (Morgan, 1889)",2083463,Chrysomphalus dictyospermi,Chrysomphalus dictyospermi
"Coccus viridis (Green, 1889)",5163369,Insecta,GBIF Backbone Taxonomy,Coccidae,Coccus,True,Animalia,Hemiptera,Arthropoda,"Coccus viridis Fernald, 1903",8034111,Coccus viridis,Coccus viridis
"Coccus hesperidum Linnaeus, 1758",5712981,Insecta,GBIF Backbone Taxonomy,Coccidae,Coccus,True,Animalia,Hemiptera,Arthropoda,"Coccus hesperidum Linnaeus, 1758",5712981,Coccus hesperidum,Coccus hesperidum
"Steatococcus samaraius Morrison, 1927",2079883,Insecta,GBIF Backbone Taxonomy,Margarodidae,Steatococcus,True,Animalia,Hemiptera,Arthropoda,"Steatococcus samaraius Morrison, 1927",2079883,Steatococcus samaraius,Steatococcus samaraius
"Aonidiella inornata McKenzie, 1938",2083004,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aonidiella,True,Animalia,Hemiptera,Arthropoda,"Aonidiella inornata McKenzie, 1938",2083004,Aonidiella inornata,Aonidiella inornata
"Aonidiella taxus Leonardi, 1906",2082988,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aonidiella,True,Animalia,Hemiptera,Arthropoda,"Aonidiella aurantii Berlese & Leonardi, 1895",2082966,Aonidiella taxus,Aonidiella aurantii
"Pentalonia nigronervosa Coquerel, 1859",2074692,Insecta,GBIF Backbone Taxonomy,Aphididae,Pentalonia,True,Animalia,Hemiptera,Arthropoda,"Pentalonia nigronervosa Coquerel, 1859",2074692,Pentalonia nigronervosa,Pentalonia nigronervosa
Aphis gossypii subsp. gossypii,7199251,Insecta,GBIF Backbone Taxonomy,Aphididae,Aphis,True,Animalia,Hemiptera,Arthropoda,Aphis gossypii,8223925,Aphis gossypii,Aphis gossypii
"Spodoptera litura Fabricius, 1775",5109882,Insecta,GBIF Backbone Taxonomy,Noctuidae,Spodoptera,True,Animalia,Lepidoptera,Arthropoda,"Spodoptera litura Fabricius, 1775",5109882,Spodoptera litura,Spodoptera litura
"Erionota thrax Linnaeus, 1767",1946737,Insecta,GBIF Backbone Taxonomy,Hesperiidae,Erionota,True,Animalia,Lepidoptera,Arthropoda,"Erionota thrax Linnaeus, 1767",1946737,Erionota thrax,Erionota thrax
"Othreis fullonia Clerck, 1764",1772630,Insecta,GBIF Backbone Taxonomy,Noctuidae,Othreis,True,Animalia,Lepidoptera,Arthropoda,"Eudocima fullonia (Clerck, 1764)",4687390,Othreis fullonia,Eudocima fullonia
"Valanga excavata (Stål, 1861)",1707539,Insecta,GBIF Backbone Taxonomy,Acrididae,Valanga,True,Animalia,Orthoptera,Arthropoda,"Valanga excavata (Stål, 1861)",1707539,Valanga excavata,Valanga excavata
"Valanga nigricornis (Burmeister, H., 1838)",1707497,Insecta,GBIF Backbone Taxonomy,Acrididae,Valanga,True,Animalia,Orthoptera,Arthropoda,"Valanga nigricornis (Burmeister, H., 1838)",1707497,Valanga nigricornis,Valanga nigricornis
"Phaseolus Monterosato, 1875",2285633,Bivalvia,GBIF Backbone Taxonomy,Phaseolidae,Phaseolus,True,Animalia,Nuculanoida,Mollusca,"Phaseolus Monterosato, 1875",2285633,,Phaseolus
"Polyphagotarsonemus latus (Banks, 1904)",2131854,Arachnida,GBIF Backbone Taxonomy,Tarsonemidae,Polyphagotarsonemus,True,Animalia,Prostigmata,Arthropoda,"Polyphagotarsonemus latus (Banks, 1904)",2131854,Polyphagotarsonemus latus,Polyphagotarsonemus latus
"Tetranychus tumidus Banks, 1900",2130247,Arachnida,GBIF Backbone Taxonomy,Tetranychidae,Tetranychus,True,Animalia,Prostigmata,Arthropoda,"Tetranychus tumidus Banks, 1900",2130247,Tetranychus tumidus,Tetranychus tumidus
"Pagria signata (Motschulsky, 1858)",1047957,Insecta,GBIF Backbone Taxonomy,Chrysomelidae,Pagria,True,Animalia,Coleoptera,Arthropoda,"Pagria signata (Motschulsky, 1858)",1047957,Pagria signata,Pagria signata
"Ophiomyia phaseoli (Tryon, 1951)",1553148,Insecta,GBIF Backbone Taxonomy,Agromyzidae,Ophiomyia,True,Animalia,Diptera,Arthropoda,"Ophiomyia phaseoli (Tryon, 1951)",1553148,Ophiomyia phaseoli,Ophiomyia phaseoli
"Melanagromyza sojae Zehntner, 1900",1554642,Insecta,GBIF Backbone Taxonomy,Agromyzidae,Melanagromyza,True,Animalia,Diptera,Arthropoda,"Melanagromyza sojae Zehntner, 1900",1554642,Melanagromyza sojae,Melanagromyza sojae
"Liriomyza sativae Blanchard, 1938",1553757,Insecta,GBIF Backbone Taxonomy,Agromyzidae,Liriomyza,True,Animalia,Diptera,Arthropoda,"Liriomyza sativae Blanchard, 1938",1553757,Liriomyza sativae,Liriomyza sativae
"Liriomyza trifolii Burgess, 1880",1553384,Insecta,GBIF Backbone Taxonomy,Agromyzidae,Liriomyza,True,Animalia,Diptera,Arthropoda,"Liriomyza trifolii Burgess, 1880",1553384,Liriomyza trifolii,Liriomyza trifolii
"Nysius Dallas, 1852",2007771,Insecta,GBIF Backbone Taxonomy,Lygaeidae,Nysius,False,Animalia,Hemiptera,Arthropoda,"Nysius Dallas, 1852",2007771,,Nysius pulchellus
"Lygus trukensis Carvalho, 1956",8054296,Insecta,GBIF Backbone Taxonomy,Miridae,Lygus,True,Animalia,Hemiptera,Arthropoda,"Lygus trukensis Carvalho, 1956",8054296,Lygus trukensis,Lygus trukensis
Brachyplatus insularis Ruckes 1963,127928625,,Index to Organism Names,,,False,,,,Brachyplatus insularis Ruckes 1963,127928625,,Brachyplatys insularis
Nezara viridula Linnaeus,8550692,Insecta,GBIF Backbone Taxonomy,Pentatomidae,Nezara viridula,True,Animalia,Hemiptera,Arthropoda,Nezara viridula Linnaeus,8550692,,Nezara viridula
Piezodorus hybneri,126116574,,Index to Organism Names,,,True,,,,Piezodorus hybneri,126116574,,Piezodorus hybneri
"Halticus tibialis Reuter, 1891",5812901,Insecta,GBIF Backbone Taxonomy,Miridae,Halticus,True,Animalia,Hemiptera,Arthropoda,"Halticus tibialis Reuter, 1891",5812901,Halticus tibialis,Halticus tibialis
Coptosoma xanthogramma,127778496,,Index to Organism Names,,,True,,,,Coptosoma xanthogramma,127778496,,Coptosoma xanthogramma
"Empoasca pitiensis Metcalf, 1946",5986019,Insecta,GBIF Backbone Taxonomy,Cicadellidae,Empoasca,True,Animalia,Hemiptera,Arthropoda,"Empoasca pitiensis Metcalf, 1946",5986019,Empoasca pitiensis,Empoasca pitiensis
Leptocentrus taurus Fabricius,2022062,Insecta,GBIF Backbone Taxonomy,Membracidae,Leptocentrus,True,Animalia,Hemiptera,Arthropoda,Leptocentrus taurus Fabricius,2022062,Leptocentrus taurus,Leptocentrus taurus
"Exitianus capicola Stål, 1855",2048896,Insecta,GBIF Backbone Taxonomy,Cicadellidae,Exitianus,True,Animalia,Hemiptera,Arthropoda,"Exitianus capicola Stål, 1855",2048896,Exitianus capicola,Exitianus capicola
"Bemisia tabaci (Gennadius, 1889)",2012126,Insecta,GBIF Backbone Taxonomy,Aleyrodidae,Bemisia,True,Animalia,Hemiptera,Arthropoda,"Bemisia tabaci (Gennadius, 1889)",2012126,Bemisia tabaci,Bemisia tabaci
"Myzus persicae (Sulzer, 1776)",2076179,Insecta,GBIF Backbone Taxonomy,Aphididae,Myzus,True,Animalia,Hemiptera,Arthropoda,"Myzus persicae (Sulzer, 1776)",2076179,Myzus persicae,Myzus persicae
Aphis craccivora subsp. craccivora,7044774,Insecta,GBIF Backbone Taxonomy,Aphididae,Aphis,True,Animalia,Hemiptera,Arthropoda,Aphis craccivora,2072061,Aphis craccivora,Aphis craccivora
"Maruca testulalis Geyer, 1832",1886730,Insecta,GBIF Backbone Taxonomy,Crambidae,Maruca,True,Animalia,Lepidoptera,Arthropoda,"Maruca testulalis Geyer, 1832",1886730,Maruca testulalis,Maruca testulalis
Spodoptera mauritia NPV,8461173,,GBIF Backbone Taxonomy,Baculoviridae,Nucleopolyhedrovirus,True,,,,Spodoptera mauritia NPV,8461173,Spodoptera mauritia,Spodoptera mauritia
"Cryptophlebia ombrodelta Lower, 1898",1737015,Insecta,GBIF Backbone Taxonomy,Tortricidae,Cryptophlebia,True,Animalia,Lepidoptera,Arthropoda,"Cryptophlebia ombrodelta Lower, 1898",1737015,Cryptophlebia ombrodelta,Cryptophlebia ombrodelta
"Etiella zinckenella Treitschke, 1832",1870450,Insecta,GBIF Backbone Taxonomy,Pyralidae,Etiella,True,Animalia,Lepidoptera,Arthropoda,"Etiella zinckenella Treitschke, 1832",1870450,Etiella zinckenella,Etiella zinckenella
Lamprosema diemenalis,125627612,,Index to Organism Names,,,True,,,,Lamprosema diemenalis,125627612,,Lamprosema diemenalis
"Adoxophyes melia Clarke, 1976",1740496,Insecta,GBIF Backbone Taxonomy,Tortricidae,Adoxophyes,True,Animalia,Lepidoptera,Arthropoda,"Adoxophyes melia Clarke, 1976",1740496,Adoxophyes melia,Adoxophyes melia
"Acrocercops Wallengren, 1881",1750759,Insecta,GBIF Backbone Taxonomy,Gracillariidae,Acrocercops,True,Animalia,Lepidoptera,Arthropoda,"Acrocercops Wallengren, 1881",1750759,,Acrocercops
"Sphenarches caffer Zeller, 1852",1859927,Insecta,GBIF Backbone Taxonomy,Pterophoridae,Sphenarches,True,Animalia,Lepidoptera,Arthropoda,"Sphenarches caffer Zeller, 1852",1859927,Sphenarches caffer,Sphenarches caffer
"Agrius convolvuli Linnaeus, 1758",1861644,Insecta,GBIF Backbone Taxonomy,Sphingidae,Agrius,True,Animalia,Lepidoptera,Arthropoda,"Agrius convolvuli Linnaeus, 1758",1861644,Agrius convolvuli,Agrius convolvuli
"Lampides boeticus (Linnaeus, 1767)",1924713,Insecta,GBIF Backbone Taxonomy,Lycaenidae,Lampides,True,Animalia,Lepidoptera,Arthropoda,"Lampides boeticus (Linnaeus, 1767)",1924713,Lampides boeticus,Lampides boeticus
Heliothis armigera,s_5197433,,EOL,,,True,,,,Heliothis armigera,s_5197433,,Heliothis armigera
Chrysodeixis chalcites NPV,8695380,,GBIF Backbone Taxonomy,Baculoviridae,Nucleopolyhedrovirus,True,,,,Chrysodeixis chalcites NPV,8695380,Chrysodeixis chalcites,Chrysodeixis chalcites
"Phaneroptera furcifera Stål, 1861",1686219,Insecta,GBIF Backbone Taxonomy,Tettigoniidae,Phaneroptera,True,Animalia,Orthoptera,Arthropoda,"Phaneroptera furcifera Stål, 1861",1686219,Phaneroptera furcifera,Phaneroptera furcifera
"Thrips palmi Karny, 1925",1420906,Insecta,GBIF Backbone Taxonomy,Thripidae,Thrips,True,Animalia,Thysanoptera,Arthropoda,"Thrips palmi Karny, 1925",1420906,Thrips palmi,Thrips palmi
"Thrips tabaci Lindeman, 1889",1420961,Insecta,GBIF Backbone Taxonomy,Thripidae,Thrips,True,Animalia,Thysanoptera,Arthropoda,"Thrips tabaci Lindeman, 1889",1420961,Thrips tabaci,Thrips tabaci
"Cynodon Spix in Spix & Agassiz, 1829",2352261,Actinopterygii,GBIF Backbone Taxonomy,Cynodontidae,Cynodon,True,Animalia,Characiformes,Chordata,"Cynodon Spix in Spix & Agassiz, 1829",2352261,,Cynodon
"Antonina graminis (Maskell, 1897)",8082584,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Antonina,True,Animalia,Hemiptera,Arthropoda,"Antonina graminis Fernald, 1903",8248478,Antonina graminis,Antonina graminis
Marasmia venilialis,99804435,,uBio NameBank,,,True,,,,Marasmia venilialis,99804435,,Marasmia venilialis
Areca catechu L.,2736531,Liliopsida,GBIF Backbone Taxonomy,Arecaceae,Areca,True,Plantae,Arecales,Tracheophyta,Areca catechu L.,2736531,Areca catechu,Areca catechu
"Rhabdoscelus obscurus (Boisduval, 1835)",4291564,Insecta,GBIF Backbone Taxonomy,Curculionidae,Rhabdoscelus,True,Animalia,Coleoptera,Arthropoda,"Rhabdoscelus obscurus (Boisduval, 1835)",4291564,Rhabdoscelus obscurus,Rhabdoscelus obscurus
"Xyleborus perforans Wood & Bright, 1992",5019910,Insecta,GBIF Backbone Taxonomy,Curculionidae,Xyleborus,True,Animalia,Coleoptera,Arthropoda,"Xyleborus perforans Wood & Bright, 1992",5019910,Xyleborus perforans,Xyleborus perforans
"Protaetia orientalis (Gory & Percheron, 1833)",1080311,Insecta,GBIF Backbone Taxonomy,Cetoniidae,Protaetia,True,Animalia,Coleoptera,Arthropoda,"Protaetia orientalis (Gory & Percheron, 1833)",1080311,Protaetia orientalis,Protaetia orientalis
"Diocalandra frumenti Marshall, G.A.K., 1931",1169450,Insecta,GBIF Backbone Taxonomy,Dryophthoridae,Diocalandra,True,Animalia,Coleoptera,Arthropoda,"Diocalandra frumenti Marshall, G.A.K., 1931",1169450,Diocalandra frumenti,Diocalandra frumenti
"Oryctes rhinoceros (Linnaeus, 1758)",4995642,Insecta,GBIF Backbone Taxonomy,Dynastidae,Oryctes,True,Animalia,Coleoptera,Arthropoda,"Oryctes rhinoceros (Linnaeus, 1758)",4995642,Oryctes rhinoceros,Oryctes rhinoceros
"Lepidosaphes laterochitinosa Green, 1925",2089321,Insecta,GBIF Backbone Taxonomy,Diaspididae,Lepidosaphes,True,Animalia,Hemiptera,Arthropoda,"Lepidosaphes laterochitinosa Green, 1925",2089321,Lepidosaphes laterochitinosa,Lepidosaphes laterochitinosa
"Lepidosaphes similis Beardsley, 1975",2089035,Insecta,GBIF Backbone Taxonomy,Diaspididae,Lepidosaphes,True,Animalia,Hemiptera,Arthropoda,"Lepidosaphes similis Beardsley, 1975",2089035,Lepidosaphes similis,Lepidosaphes similis
"Cerataphis lataniae (Boisduval, 1867)",2074369,Insecta,GBIF Backbone Taxonomy,Aphididae,Cerataphis,True,Animalia,Hemiptera,Arthropoda,"Cerataphis lataniae (Boisduval, 1867)",2074369,Cerataphis lataniae,Cerataphis lataniae
"Pinnaspis buxi (Bouché, 1851)",8038788,Insecta,GBIF Backbone Taxonomy,Diaspididae,Pinnaspis,True,Animalia,Hemiptera,Arthropoda,"Pinnaspis buxi Newstead, 1901",2086155,Pinnaspis buxi,Pinnaspis buxi
"Dysmicoccus brevipes (Cockerell, 1893)",7672713,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Dysmicoccus,True,Animalia,Hemiptera,Arthropoda,"Dysmicoccus brevipes (Cockerell, 1893)",7672713,Dysmicoccus brevipes,Dysmicoccus brevipes
"Palmicultor palmarum (Ehrhorn, 1916)",2093294,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Palmicultor,True,Animalia,Hemiptera,Arthropoda,"Palmicultor palmarum (Ehrhorn, 1916)",2093294,Palmicultor palmarum,Palmicultor palmarum
"Parlatoria proteus (Curtis, 1843)",7703477,Insecta,GBIF Backbone Taxonomy,Diaspididae,Parlatoria,True,Animalia,Hemiptera,Arthropoda,"Parlatoria proteus Signoret, 1869",7897316,Parlatoria proteus,Parlatoria proteus
"Milviscutulus mangiferae (Green, 1889)",8123161,Insecta,GBIF Backbone Taxonomy,Coccidae,Milviscutulus,True,Animalia,Hemiptera,Arthropoda,"Coccus mangiferae Fernald, 1903",5163589,Milviscutulus mangiferae,Coccus mangiferae
"Pinnaspis aspidistrae (Signoret, 1869)",4290201,Insecta,GBIF Backbone Taxonomy,Diaspididae,Pinnaspis,True,Animalia,Hemiptera,Arthropoda,"Pinnaspis aspidistrae (Signoret, 1869)",4290201,Pinnaspis aspidistrae,Pinnaspis aspidistrae
"Pseudaulacaspis cockerelli (Cooley, 1897)",2088910,Insecta,GBIF Backbone Taxonomy,Diaspididae,Pseudaulacaspis,True,Animalia,Hemiptera,Arthropoda,"Phenacaspis inday Robinson, 1917",2088921,Pseudaulacaspis cockerelli,Phenacaspis inday
"Agonoxena Meyrick, 1921",1853137,Insecta,GBIF Backbone Taxonomy,Agonoxenidae,Agonoxena,True,Animalia,Lepidoptera,Arthropoda,"Agonoxena Meyrick, 1921",1853137,,Agonoxena
"Batrachedra Herrich-Schäffer, 1853",1852917,Insecta,GBIF Backbone Taxonomy,Batrachedridae,Batrachedra,True,Animalia,Lepidoptera,Arthropoda,"Batrachedra Herrich-Schäffer, 1853",1852917,,Batrachedra
